epoch,train_loss,train_acc,val_loss,val_acc
1,1.699078,0.222504,1.787829,0.120674
2,1.565402,0.276394,1.322306,0.462738
3,1.474150,0.325743,1.357683,0.412847
4,1.428490,0.360067,1.216882,0.521671
5,1.386538,0.390451,1.158289,0.574369
6,1.365105,0.398798,1.116410,0.588400
7,1.352957,0.410751,1.184607,0.520424
8,1.326480,0.422371,1.154030,0.553165
9,1.297225,0.442337,1.072063,0.606486
10,1.279471,0.453088,1.058404,0.599314
11,1.245284,0.471586,1.065803,0.604927
12,1.216832,0.493489,1.043958,0.586218
13,1.188548,0.512454,1.059820,0.612099
14,1.156782,0.527813,1.088002,0.586841
15,1.132074,0.537095,1.039642,0.576551
16,1.126700,0.544174,0.925706,0.644216
17,1.111481,0.549917,0.883037,0.662925
18,1.084407,0.560868,0.888773,0.669473
19,1.083683,0.561870,0.867866,0.656688
20,1.048476,0.581503,0.939029,0.613658
21,1.045134,0.580301,0.781044,0.715310
22,1.045674,0.581035,0.859414,0.692548
23,1.021853,0.593723,0.867401,0.654194
24,1.013641,0.597062,0.851946,0.676021
25,1.005551,0.601068,0.842452,0.676021
26,0.984724,0.606344,0.864913,0.661678
27,0.975665,0.606878,0.856382,0.679451
28,0.988812,0.604207,0.860495,0.676957
29,0.979361,0.614023,0.851456,0.680698
30,0.985633,0.611619,0.842337,0.685688
