epoch,train_loss,train_acc,val_loss,val_acc
1,1.671783,0.462478,1.041129,0.540984
2,1.051532,0.568063,0.887527,0.627049
3,1.028991,0.604712,0.792713,0.618852
4,0.926604,0.607330,0.849525,0.618852
5,0.928410,0.619546,0.861156,0.557377
6,0.873779,0.643979,0.852058,0.553279
7,0.768222,0.666667,0.770195,0.659836
8,0.758810,0.689354,0.906501,0.635246
9,0.791184,0.662304,0.829142,0.684426
10,0.705821,0.717277,0.760459,0.692623
11,0.718290,0.719023,0.736811,0.725410
12,0.691223,0.720768,0.731728,0.692623
13,0.647785,0.746946,0.587973,0.786885
14,0.587843,0.773997,0.660706,0.737705
15,0.570758,0.780977,0.601766,0.754098
16,0.593357,0.770506,0.614956,0.745902
17,0.554391,0.795812,0.576217,0.799180
18,0.502507,0.822862,0.642243,0.733607
19,0.524800,0.805410,0.593222,0.782787
20,0.578045,0.768761,0.588600,0.770492
21,0.515350,0.799302,0.557379,0.774590
22,0.440094,0.829843,0.529734,0.831967
23,0.475777,0.816754,0.523920,0.815574
24,0.444005,0.833333,0.519429,0.807377
25,0.457873,0.835079,0.496381,0.844262
26,0.423649,0.842059,0.527273,0.811475
27,0.444922,0.835951,0.506115,0.823770
28,0.424923,0.856894,0.504287,0.827869
29,0.452047,0.834206,0.501845,0.827869
30,0.416385,0.840314,0.500439,0.827869
