epoch,train_loss,train_acc,val_loss,val_acc
1,3.484427,0.088878,3.111944,0.135167
2,3.096985,0.141013,2.901754,0.210526
3,2.805501,0.205313,2.490534,0.284689
4,2.533576,0.265144,2.207741,0.354067
5,2.273255,0.328699,2.073000,0.377990
6,2.097543,0.385303,1.844046,0.421053
7,1.920699,0.427507,1.641283,0.505981
8,1.827092,0.454320,1.621298,0.489234
9,1.698746,0.487587,1.446871,0.556220
10,1.584085,0.511917,1.372526,0.556220
11,1.492948,0.555114,1.232397,0.596890
12,1.395952,0.572244,1.246673,0.630383
13,1.307995,0.595829,1.174941,0.642344
14,1.303238,0.593843,1.104848,0.665072
15,1.221106,0.624876,1.115897,0.665072
16,1.165619,0.653178,1.016980,0.686603
17,1.087420,0.661370,0.946729,0.721292
18,1.026988,0.691658,0.881486,0.734450
19,0.936110,0.714250,0.855839,0.740431
20,0.924316,0.713505,0.745148,0.779904
21,0.876731,0.730636,0.748138,0.769139
22,0.823416,0.746773,0.717851,0.776316
23,0.793630,0.751490,0.696193,0.785885
24,0.765740,0.756455,0.653825,0.796651
25,0.709527,0.780040,0.657575,0.799043
26,0.699185,0.787736,0.616423,0.811005
27,0.689226,0.789474,0.611223,0.808612
28,0.664261,0.790963,0.604885,0.816986
29,0.672056,0.791460,0.601614,0.816986
30,0.659556,0.794935,0.600339,0.814593
