epoch,train_loss,train_acc,val_loss,val_acc
1,1.710083,0.229048,1.583595,0.153103
2,1.581912,0.263306,1.397395,0.235111
3,1.454449,0.350317,1.289880,0.498285
4,1.400537,0.379165,1.145776,0.608669
5,1.374817,0.393589,1.295117,0.503586
6,1.364579,0.405142,1.196520,0.571562
7,1.346976,0.414758,1.139829,0.608980
8,1.332985,0.425643,1.154919,0.607733
9,1.307626,0.435326,1.138093,0.571562
10,1.292756,0.441536,1.239255,0.473028
11,1.272394,0.463239,1.099665,0.607109
12,1.239765,0.479199,0.968931,0.632679
13,1.207705,0.496361,1.009760,0.626130
14,1.180068,0.507045,1.188018,0.452448
15,1.164150,0.522003,1.076358,0.570003
16,1.155964,0.531953,0.957052,0.641098
17,1.127469,0.536227,0.940888,0.629249
18,1.110793,0.543573,0.884191,0.668849
19,1.109646,0.550184,0.979336,0.615840
20,1.080054,0.562471,1.014990,0.594325
21,1.078538,0.561803,0.998651,0.617711
22,1.055126,0.574624,0.959564,0.635485
23,1.058739,0.572755,0.936654,0.644528
24,1.044122,0.577896,0.891091,0.656065
25,1.035265,0.587112,0.921237,0.652635
26,1.028406,0.585309,0.992982,0.628937
27,1.013353,0.595593,0.907536,0.661366
28,1.033104,0.584040,0.902416,0.655753
29,1.008400,0.596795,0.904487,0.657936
30,1.017873,0.595726,0.903343,0.655129
