epoch,train_loss,train_acc,val_loss,val_acc
1,3.466777,0.099553,3.122583,0.145933
2,3.153446,0.139027,2.957094,0.149522
3,2.915551,0.182224,2.624022,0.283493
4,2.647001,0.249503,2.362704,0.312201
5,2.421505,0.303873,2.131240,0.376794
6,2.233685,0.342354,2.050048,0.362440
7,2.044701,0.397219,1.798106,0.456938
8,1.888524,0.433962,1.600889,0.500000
9,1.748994,0.476663,1.511375,0.545455
10,1.662197,0.491311,1.429165,0.549043
11,1.581226,0.518123,1.367349,0.566986
12,1.500877,0.539474,1.412663,0.558612
13,1.440155,0.564300,1.332044,0.608852
14,1.372820,0.585899,1.193611,0.626794
15,1.233417,0.625621,1.116474,0.643541
16,1.223015,0.620407,1.063617,0.662679
17,1.127454,0.643992,1.013950,0.692584
18,1.047880,0.672542,0.966494,0.694976
19,1.041926,0.675025,0.884575,0.733254
20,0.973581,0.691907,0.811093,0.750000
21,0.906152,0.709037,0.822023,0.752392
22,0.916063,0.718967,0.773131,0.770335
23,0.857789,0.724181,0.772038,0.761962
24,0.792687,0.756207,0.638422,0.806220
25,0.782562,0.750000,0.644026,0.802632
26,0.742156,0.767378,0.710226,0.777512
27,0.710625,0.777805,0.581363,0.826555
28,0.655567,0.788729,0.608120,0.811005
29,0.646879,0.800149,0.635383,0.807416
30,0.630324,0.804618,0.571484,0.820574
31,0.582066,0.819513,0.560084,0.830144
32,0.588700,0.818272,0.528684,0.833732
33,0.582623,0.814052,0.509994,0.850478
34,0.556798,0.827706,0.516980,0.845694
35,0.552134,0.829692,0.516255,0.838517
36,0.540158,0.834657,0.510232,0.839713
37,0.511758,0.838630,0.499692,0.845694
38,0.509311,0.845084,0.493709,0.851675
39,0.517841,0.838133,0.488866,0.846890
40,0.508104,0.844836,0.488050,0.848086
